team,week,opponent,home_away,points_scored,points_allowed,total_yards,passing_yards,rushing_yards,turnovers,first_downs,time_of_possession,result
ARI,1,BUF,away,28,34,378,245,133,2,22,28:45,L
ARI,2,NYG,home,31,28,420,310,110,1,25,32:15,W
ARI,3,DAL,away,16,28,305,220,85,3,18,26:30,L
ARI,4,WAS,home,20,24,352,275,77,2,21,29:40,L
ARI,5,SF,away,17,35,290,195,95,2,19,25:20,L
ARI,6,LAR,home,9,26,248,180,68,1,15,24:10,L
ARI,7,SEA,away,21,20,365,280,85,1,23,31:25,W
ARI,8,MIA,home,27,28,410,295,115,2,24,30:50,L
ARI,9,CHI,away,29,9,445,315,130,0,28,35:40,W
ARI,10,NYJ,home,31,6,482,340,142,0,29,37:20,W
ARI,11,SEA,home,16,6,298,210,88,1,20,28:15,W
ARI,12,MIN,away,23,27,387,270,117,1,25,31:05,L
BUF,1,ARI,home,34,28,425,320,105,1,27,31:15,W
BUF,2,MIA,away,31,10,450,360,90,0,28,33:20,W
BUF,3,JAX,home,47,10,502,385,117,0,32,36:45,W
NYG,1,MIN,away,6,28,240,180,60,2,15,22:30,L
NYG,2,ARI,away,28,31,390,285,105,2,23,27:45,L
NYG,3,CLE,home,21,15,320,240,80,1,22,29:10,W
DAL,1,CLE,away,33,17,380,295,85,1,25,31:40,W
DAL,2,NYJ,home,30,10,420,310,110,0,26,34:15,W
DAL,3,ARI,home,28,16,395,280,115,1,24,33:30,W
WAS,1,TB,away,20,37,310,235,75,3,19,26:20,L
WAS,2,DEN,home,35,33,445,330,115,2,27,32:40,W
WAS,3,BUF,away,3,37,215,155,60,4,12,19:45,L
WAS,4,ARI,away,24,20,365,270,95,1,23,30:20,W
SF,1,PIT,home,30,7,395,285,110,0,25,33:50,W
SF,2,LAR,away,30,23,425,310,115,1,28,34:10,W
SF,3,NYG,home,30,12,410,295,115,0,27,35:25,W
SF,4,NE,away,30,13,395,280,115,1,26,33:45,W
SF,5,ARI,home,35,17,450,325,125,0,29,36:40,W
LAR,1,SEA,away,30,13,410,305,105,0,26,32:25,W
LAR,2,SF,home,23,30,365,275,90,2,22,25:50,L
LAR,3,CIN,home,19,16,310,230,80,1,21,28:35,W
LAR,4,IND,away,29,23,395,290,105,1,25,31:15,W
LAR,5,GB,home,20,24,340,250,90,2,22,27:40,L
LAR,6,ARI,away,26,9,380,285,95,1,24,35:50,W
SEA,1,LAR,home,13,30,285,210,75,2,18,27:35,L
SEA,2,DET,away,37,31,465,340,125,1,29,32:50,W
SEA,3,CAR,home,37,27,420,310,110,1,27,31:40,W
SEA,4,NYG,away,24,3,365,270,95,0,24,33:20,W
SEA,5,NYG,home,29,20,395,290,105,1,26,32:15,W
SEA,6,SF,away,24,36,340,255,85,2,21,26:40,L
SEA,7,ARI,home,20,21,355,265,90,2,22,28:35,L
SEA,8,BUF,away,31,10,410,295,115,0,26,34:25,W
SEA,9,LAR,away,26,20,385,280,105,1,25,31:50,W
SEA,10,SF,home,20,23,330,245,85,1,21,27:10,L
SEA,11,ARI,away,6,16,245,175,70,3,16,23:45,L
MIA,1,LAC,home,36,34,510,385,125,1,31,33:20,W
MIA,2,BUF,home,10,31,275,205,70,3,17,26:40,L
MIA,3,DEN,away,70,20,726,385,341,0,36,37:45,W
MIA,4,BUF,away,20,48,285,215,70,4,18,21:15,L
MIA,5,NYG,home,31,16,425,315,110,1,27,33:40,W
MIA,6,CAR,away,21,42,330,250,80,3,20,25:20,L
MIA,7,PHI,home,17,31,310,235,75,2,19,26:40,L
MIA,8,ARI,away,28,27,395,285,110,1,25,29:10,W
CHI,1,GB,home,38,20,410,305,105,0,27,34:15,W
CHI,2,TB,away,27,17,365,270,95,1,24,31:30,W
CHI,3,KC,home,10,41,265,195,70,3,16,23:45,L
CHI,4,DEN,away,28,31,385,280,105,2,23,28:50,L
CHI,5,WAS,home,40,20,465,340,125,0,30,36:10,W
CHI,6,MIN,away,19,22,320,240,80,2,21,27:30,L
CHI,7,LV,home,30,12,395,290,105,1,26,33:25,W
CHI,8,LAC,away,13,30,285,210,75,2,18,25:35,L
CHI,9,ARI,home,9,29,245,180,65,4,14,24:20,L
NYJ,1,BUF,away,16,22,285,215,70,2,19,27:45,L
NYJ,2,DAL,away,10,30,265,195,70,3,17,25:45,L
NYJ,3,NE,home,10,15,280,210,70,2,18,26:50,L
NYJ,4,KC,away,20,23,310,235,75,1,20,28:40,L
NYJ,5,DEN,home,31,21,395,290,105,1,26,32:15,W
NYJ,6,PHI,away,14,20,295,220,75,2,19,27:30,L
NYJ,7,NYG,away,13,10,270,200,70,1,18,28:20,W
NYJ,8,NYG,home,13,10,275,205,70,1,19,29:05,W
NYJ,9,LAC,home,27,6,365,270,95,0,24,33:50,W
NYJ,10,ARI,away,6,31,225,165,60,3,13,22:40,L
